algoritmo;tamanho_mapa;tamanho_cluster;densidade_nome;densidade_configurada;densidade_real;semente;numero_mapa;tentativa_geracao_mapa;repeticao;encontrado;tempo_segundos;nos_expandidos;custo_total;passos_caminho;posicoes_caminho;nos_expandidos_abstratos;quantidade_portais;jump_points;nos_grafo_abstrato;arestas_grafo_abstrato;erro
A*;32;8;baixa;0.1;0.1298828125;5227;1;1;1;True;0.004317999992053956;325;49.69848480983499;41;42;0;0;0;0;0;
JPS;32;8;baixa;0.1;0.1298828125;5227;1;1;1;True;0.004510200000368059;139;49.698484809835;41;42;0;0;169;0;0;
HPA*;32;8;baixa;0.1;0.1298828125;5227;1;1;1;True;0.033997499995166436;204;51.45584412271571;44;45;47;47;0;94;284;
HPA-JPS;32;8;baixa;0.1;0.1298828125;5227;1;1;1;True;0.037677899992559105;91;51.45584412271571;44;45;47;47;1847;94;284;
A*;32;8;baixa;0.1;0.1298828125;5227;1;1;2;True;0.003966599993873388;325;49.69848480983499;41;42;0;0;0;0;0;
JPS;32;8;baixa;0.1;0.1298828125;5227;1;1;2;True;0.003609599982155487;139;49.698484809835;41;42;0;0;169;0;0;
HPA*;32;8;baixa;0.1;0.1298828125;5227;1;1;2;True;0.03400730001158081;204;51.45584412271571;44;45;47;47;0;94;284;
HPA-JPS;32;8;baixa;0.1;0.1298828125;5227;1;1;2;True;0.037175799981923774;91;51.45584412271571;44;45;47;47;1847;94;284;
A*;32;8;media;0.2;0.185546875;5237;1;1;1;True;0.003831000009085983;334;50.28427124746189;42;43;0;0;0;0;0;
JPS;32;8;media;0.2;0.185546875;5237;1;1;1;True;0.003424099995754659;146;50.28427124746189;42;43;0;0;188;0;0;
HPA*;32;8;media;0.2;0.185546875;5237;1;1;1;True;0.04834670000127517;292;53.21320343559643;47;48;67;57;0;111;372;
HPA-JPS;32;8;media;0.2;0.185546875;5237;1;1;1;True;0.05312150000827387;184;53.21320343559643;47;48;67;57;2983;111;372;
A*;32;8;media;0.2;0.185546875;5237;1;1;2;True;0.0028409999795258045;334;50.28427124746189;42;43;0;0;0;0;0;
JPS;32;8;media;0.2;0.185546875;5237;1;1;2;True;0.003385599993634969;146;50.28427124746189;42;43;0;0;188;0;0;
HPA*;32;8;media;0.2;0.185546875;5237;1;1;2;True;0.04972979999729432;292;53.21320343559643;47;48;67;57;0;111;372;
HPA-JPS;32;8;media;0.2;0.185546875;5237;1;1;2;True;0.05417200000374578;184;53.21320343559643;47;48;67;57;2983;111;372;
A*;32;8;alta;0.3;0.3203125;5247;1;2;1;True;0.0020812000147998333;274;58.627416997969505;52;53;0;0;0;0;0;
JPS;32;8;alta;0.3;0.3203125;5247;1;2;1;True;0.0022631999745499343;106;58.627416997969505;52;53;0;0;131;0;0;
HPA*;32;8;alta;0.3;0.3203125;5247;1;2;1;True;0.0335553000040818;234;60.384776310850235;55;56;46;50;0;99;214;
HPA-JPS;32;8;alta;0.3;0.3203125;5247;1;2;1;True;0.034612699993886054;118;60.384776310850235;55;56;46;50;1715;99;214;
A*;32;8;alta;0.3;0.3203125;5247;1;2;2;True;0.002119000011589378;274;58.627416997969505;52;53;0;0;0;0;0;
JPS;32;8;alta;0.3;0.3203125;5247;1;2;2;True;0.002158499992219731;106;58.627416997969505;52;53;0;0;131;0;0;
HPA*;32;8;alta;0.3;0.3203125;5247;1;2;2;True;0.03366990000358783;234;60.384776310850235;55;56;46;50;0;99;214;
HPA-JPS;32;8;alta;0.3;0.3203125;5247;1;2;2;True;0.033195900003192946;118;60.384776310850235;55;56;46;50;1715;99;214;
A*;64;8;baixa;0.1;0.0966796875;8427;1;1;1;True;0.00616940000327304;630;94.95331880577395;73;74;0;0;0;0;0;
JPS;64;8;baixa;0.1;0.0966796875;8427;1;1;1;True;0.008600200002547354;218;94.95331880577397;73;74;0;0;309;0;0;
HPA*;64;8;baixa;0.1;0.0966796875;8427;1;1;1;True;0.17040820000693202;258;101.39696961966999;84;85;155;202;0;401;1359;
HPA-JPS;64;8;baixa;0.1;0.0966796875;8427;1;1;1;True;0.20008829998550937;195;101.39696961966999;84;85;155;202;7746;401;1359;
A*;64;8;baixa;0.1;0.0966796875;8427;1;1;2;True;0.007274900010088459;630;94.95331880577395;73;74;0;0;0;0;0;
JPS;64;8;baixa;0.1;0.0966796875;8427;1;1;2;True;0.010288699995726347;218;94.95331880577397;73;74;0;0;309;0;0;
HPA*;64;8;baixa;0.1;0.0966796875;8427;1;1;2;True;0.18190120000508614;258;101.39696961966999;84;85;155;202;0;401;1359;
HPA-JPS;64;8;baixa;0.1;0.0966796875;8427;1;1;2;True;0.20135600000503473;195;101.39696961966999;84;85;155;202;7746;401;1359;
A*;64;8;media;0.2;0.1953125;8437;1;1;1;True;0.015560200001345947;1436;103.15432893255063;87;88;0;0;0;0;0;
JPS;64;8;media;0.2;0.1953125;8437;1;1;1;True;0.016235900024184957;624;103.15432893255064;87;88;0;0;715;0;0;
HPA*;64;8;media;0.2;0.1953125;8437;1;1;1;True;0.2549771000049077;498;106.66904755831214;93;94;271;258;0;497;1827;
HPA-JPS;64;8;media;0.2;0.1953125;8437;1;1;1;True;0.2832103999971878;379;106.66904755831214;93;94;271;258;13970;497;1827;
A*;64;8;media;0.2;0.1953125;8437;1;1;2;True;0.012184099992737174;1436;103.15432893255063;87;88;0;0;0;0;0;
JPS;64;8;media;0.2;0.1953125;8437;1;1;2;True;0.015516299987211823;624;103.15432893255064;87;88;0;0;715;0;0;
HPA*;64;8;media;0.2;0.1953125;8437;1;1;2;True;0.2704958999820519;498;106.66904755831214;93;94;271;258;0;497;1827;
HPA-JPS;64;8;media;0.2;0.1953125;8437;1;1;2;True;0.28083679999690503;379;106.66904755831214;93;94;271;258;13970;497;1827;
A*;64;8;alta;0.3;0.301513671875;8447;1;2;1;True;0.011218100000405684;1398;111.94112549695424;102;103;0;0;0;0;0;
JPS;64;8;alta;0.3;0.301513671875;8447;1;2;1;True;0.013108900020597503;625;111.94112549695424;102;103;0;0;689;0;0;
HPA*;64;8;alta;0.3;0.301513671875;8447;1;2;1;True;0.2579124000039883;458;114.87005768508878;107;108;278;252;0;481;1380;
HPA-JPS;64;8;alta;0.3;0.301513671875;8447;1;2;1;True;0.2605254999944009;342;114.87005768508878;107;108;278;252;12672;481;1380;
A*;64;8;alta;0.3;0.301513671875;8447;1;2;2;True;0.012061000015819445;1398;111.94112549695424;102;103;0;0;0;0;0;
JPS;64;8;alta;0.3;0.301513671875;8447;1;2;2;True;0.013250799995148554;625;111.94112549695424;102;103;0;0;689;0;0;
HPA*;64;8;alta;0.3;0.301513671875;8447;1;2;2;True;0.24392029998125508;458;114.87005768508878;107;108;278;252;0;481;1380;
HPA-JPS;64;8;alta;0.3;0.301513671875;8447;1;2;2;True;0.25919929999508895;342;114.87005768508878;107;108;278;252;12672;481;1380;
